Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
1,9126,Kevin MAYER,10 FEB 1992,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,1302,10.55,7.80,16.00,2.05,48.42,13.75,50.54,5.45,71.90,4:36.11
2,9045,Ashton EATON,21 JAN 1988,USA,1,"National Stadium, Beijing (CHN)",29 AUG 2015,1289,10.23,7.88,14.52,2.01,45.00,13.69,43.34,5.20,63.63,4:17.52
3,9039,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2012,1288,10.21,8.23,14.20,2.05,46.70,13.70,42.81,5.30,58.87,4:14.48
4,9026,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),27 MAY 2001,1286,10.64,8.11,15.33,2.12,47.79,13.92,47.92,4.80,70.16,4:21.98
5,9018,Damian WARNER,04 NOV 1989,CAN,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1285,10.12,8.24,14.80,2.02,47.48,13.46,48.67,4.90,63.44,4:31.08
6,8995,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1281,10.14,8.28,14.31,2.09,47.90,13.36,48.43,4.80,59.46,4:25.19
7,8994,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Praha (CZE),04 JUL 1999,1281,10.54,7.90,16.78,2.04,48.08,13.73,48.33,4.90,72.32,4:37.20
8,8909,Pierce LEPAGE,22 JAN 1996,CAN,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1268,10.45,7.59,15.81,2.08,47.21,13.77,50.98,5.20,60.90,4:39.88
9,8902,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1267,10.62,8.07,16.57,2.00,47.74,13.80,45.51,5.00,68.53,4:35.13
10,8900,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),04 JUN 2000,1266,10.54,8.03,16.68,2.09,48.36,13.89,47.89,4.85,67.21,4:42.33
11,8893,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1265,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5.00,70.52,4:40.01
11,8893,Ashton EATON,21 JAN 1988,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1265,10.46,7.94,14.73,2.01,46.07,13.80,45.49,5.20,59.77,4:23.33
13,8891,Dan O'BRIEN,18 JUL 1966,USA,1,Talence (FRA),05 SEP 1992,1265,10.43,8.08,16.69,2.07,48.51,13.98,48.56,5.00,62.58,4:42.10
14,8869,Ashton EATON,21 JAN 1988,USA,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1261,10.35,8.03,14.66,2.05,46.90,13.56,42.53,5.20,61.96,4:33.59
15,8867,Garrett SCANTLING,19 MAY 1993,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,1261,10.68,7.68,16.12,2.04,48.38,13.59,51.04,5.15,67.16,4:46.37
16,8842,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),30 MAY 2004,1257,10.92,7.86,16.22,2.09,48.59,14.15,47.44,5.00,71.10,4:34.09
17,8837,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1256,10.60,7.64,16.32,2.00,47.56,13.61,45.16,5.00,70.34,4:35.40
18,8836,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1256,10.61,7.68,16.27,2.04,47.08,14.10,55.06,5.21,57.45,4:48.00
19,8834,Kevin MAYER,10 FEB 1992,FRA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1256,10.81,7.60,15.76,2.04,48.28,14.02,46.78,5.40,65.04,4:25.49
20,8832,Bryan CLAY,03 JAN 1980,USA,1,"Eugene, OR (USA)",30 JUN 2008,1256,10.39,7.39,15.17,2.08,48.41,13.75,52.74,5.00,70.55,4:50.97
21,8824,Dan O'BRIEN,18 JUL 1966,USA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1254,10.50,7.57,15.66,2.07,46.82,13.87,48.78,5.00,66.90,4:45.89
22,8820,Bryan CLAY,03 JAN 1980,USA,2,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1254,10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.90,69.71,4:41.65
23,8817,Dan O'BRIEN,18 JUL 1966,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1253,10.57,7.99,15.41,2.03,47.46,14.08,47.92,5.20,62.56,4:40.08
24,8816,Kevin MAYER,10 FEB 1992,FRA,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1253,10.62,7.54,14.98,2.05,49.40,13.92,49.44,5.40,70.31,4:41.44
25,8815,Erki NOOL,25 JUN 1970,EST,2,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1253,10.60,7.63,14.90,2.03,46.23,14.40,43.40,5.40,67.01,4:29.58
26,8812,Dan O'BRIEN,18 JUL 1966,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,1253,10.41,7.90,16.24,1.91,46.53,13.94,47.20,5.20,60.66,4:37.50
27,8811,Daley THOMPSON,30 JUL 1958,GBR,1,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1252,10.26,7.72,15.73,2.00,47.02,14.04,43.38,5.10,62.78,4:26.16
28,8809,Ashton EATON,21 JAN 1988,USA,1,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1252,10.35,7.73,14.39,1.93,46.02,13.72,45.00,5.20,64.83,4:29.80
29,8807,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),01 JUN 2003,1252,10.78,7.86,15.41,2.12,47.83,13.96,43.42,4.90,69.22,4:28.63
30,8804,Damian WARNER,04 NOV 1989,CAN,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1251,10.32,7.77,15.03,2.05,47.86,13.67,45.82,4.90,63.09,4:27.73
31,8800,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),02 JUN 2002,1251,10.95,7.79,15.50,2.12,48.35,13.89,48.02,5.00,68.97,4:38.16
31,8800,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Olympiastadion, München (GER)",08 AUG 2002,1251,10.83,7.92,15.41,2.12,48.48,14.04,46.88,5.10,68.51,4:42.94
33,8797,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,1250,10.14,7.93,14.92,2.03,47.92,13.48,48.24,4.90,58.62,4:38.65
34,8795,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1250,10.31,7.81,14.83,2.03,47.72,13.56,47.32,4.80,61.94,4:26.59
35,8791,Bryan CLAY,03 JAN 1980,USA,1,"National Stadium, Beijing (CHN)",22 AUG 2008,1249,10.44,7.78,16.27,1.99,48.92,13.93,53.79,5.00,70.97,5:06.59
36,8790,Trey HARDEE,07 FEB 1984,USA,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,1249,10.45,7.83,15.33,1.99,48.13,13.86,48.08,5.20,68.00,4:48.91
37,8784,Tom PAPPAS,06 SEP 1976,USA,1,"Palo Alto, CA (USA)",22 JUN 2003,1248,10.78,7.96,16.28,2.17,48.22,14.13,45.84,5.20,60.77,4:48.12
38,8768,Kevin MAYER,10 FEB 1992,FRA,1,"Olympic Stadium, London (GBR)",12 AUG 2017,1246,10.70,7.52,15.72,2.08,48.26,13.75,47.14,5.10,66.10,4:36.73
39,8757,Roman ŠEBRLE,26 NOV 1974,CZE,2,Götzis (AUT),04 JUN 2000,1244,10.64,7.88,15.19,2.15,49.05,13.99,47.21,4.75,67.23,4:35.06
40,8756,Lindon VICTOR,28 FEB 1993,GRN,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1244,10.60,7.55,15.94,2.02,48.05,14.47,54.97,4.80,68.05,4:39.67
41,8755,Dan O'BRIEN,18 JUL 1966,USA,1,"New York, NY (USA)",20 JUL 1998,1244,10.71,7.78,15.67,2.11,48.04,13.67,48.87,5.20,66.31,5:08.77
42,8750,Tom PAPPAS,06 SEP 1976,USA,1,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1243,10.80,7.62,16.11,2.09,47.58,13.99,46.94,5.10,65.90,4:44.31
42,8750,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1243,10.34,7.84,14.04,2.00,46.30,13.60,41.39,5.25,57.84,4:25.15
44,8744,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1242,10.60,7.98,16.49,2.00,48.42,13.75,46.26,4.60,70.11,4:39.87
45,8742,Erki NOOL,25 JUN 1970,EST,3,Götzis (AUT),04 JUN 2000,1242,10.69,7.78,14.14,1.97,47.18,14.37,44.16,5.55,69.10,4:35.59
46,8738,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),30 MAY 1999,1241,10.71,7.77,16.43,2.00,48.21,13.85,46.54,4.80,68.66,4:33.99
47,8735,Eduard HÄMÄLÄINEN,21 JAN 1969,BLR,1,Götzis (AUT),29 MAY 1994,1240,10.50,7.26,16.05,2.11,47.63,13.82,49.70,4.90,60.32,4:35.09
