Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
1,9126,Kevin MAYER,10 FEB 1992,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,7.8,50.54,71.9,4:36.11,22.37,4280
2,9045,Ashton EATON,21 JAN 1988,USA,1,"National Stadium, Beijing (CHN)",29 AUG 2015,7.88,43.34,63.63,4:17.52,23.02,4193
3,9039,Ashton EATON,21 JAN 1988,USA,1,"Hayward Field, Eugene, OR (USA)",23 JUN 2012,8.23,42.81,58.87,4:14.48,22.57,4290
4,9026,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),27 MAY 2001,8.11,47.92,70.16,4:21.98,22.73,4402
5,9018,Damian WARNER,04 NOV 1989,CAN,1,"National Stadium, Tokyo (JPN)",05 AUG 2021,8.24,48.67,63.44,4:31.08,23.05,4193
6,8995,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,8.28,48.43,59.46,4:25.19,22.70,4262
7,8994,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Praha (CZE),04 JUL 1999,7.9,48.33,72.32,4:37.20,22.99,4170
8,8909,Pierce LEPAGE,22 JAN 1996,CAN,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.59,50.98,60.9,4:39.88,23.15,3936
9,8902,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,8.07,45.51,68.53,4:35.13,23.35,4079
10,8900,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,Götzis (AUT),04 JUN 2000,8.03,47.89,67.21,4:42.33,22.33,4143
11,8893,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.84,48.72,70.52,4:40.01,23.12,4086
11,8893,Ashton EATON,21 JAN 1988,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.94,45.49,59.77,4:23.33,22.53,4185
13,8891,Dan O'BRIEN,18 JUL 1966,USA,1,Talence (FRA),05 SEP 1992,8.08,48.56,62.58,4:42.10,23.25,3980
14,8869,Ashton EATON,21 JAN 1988,USA,1,"Olympic Stadium, London (GBR)",09 AUG 2012,8.03,42.53,61.96,4:33.59,23.48,3925
15,8867,Garrett SCANTLING,19 MAY 1993,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2022,7.68,51.04,67.16,4:46.37,22.92,3994
16,8842,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),30 MAY 2004,7.86,47.44,71.1,4:34.09,22.77,4196
17,8837,Tomáš DVOŘÁK,11 MAY 1972,CZE,1,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.64,45.16,70.34,4:35.40,23.30,4009
18,8836,Leo NEUGEBAUER,19 JUN 2000,GER,1,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,7.68,55.06,57.45,4:48.00,23.06,3892
19,8834,Kevin MAYER,10 FEB 1992,FRA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.6,46.78,65.04,4:25.49,22.61,4171
20,8832,Bryan CLAY,03 JAN 1980,USA,1,"Eugene, OR (USA)",30 JUN 2008,7.39,52.74,70.55,4:50.97,23.36,3894
21,8824,Dan O'BRIEN,18 JUL 1966,USA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.57,48.78,66.9,4:45.89,22.87,3938
22,8820,Bryan CLAY,03 JAN 1980,USA,2,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.96,50.11,69.71,4:41.65,23.55,4048
23,8817,Dan O'BRIEN,18 JUL 1966,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,7.99,47.92,62.56,4:40.08,22.48,4077
24,8816,Kevin MAYER,10 FEB 1992,FRA,1,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.54,49.44,70.31,4:41.44,22.45,4104
25,8815,Erki NOOL,25 JUN 1970,EST,2,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.63,43.4,67.01,4:29.58,22.51,4106
26,8812,Dan O'BRIEN,18 JUL 1966,USA,1,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.9,47.2,60.66,4:37.50,22.24,4082
27,8811,Daley THOMPSON,30 JUL 1958,GBR,1,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.72,43.38,62.78,4:26.16,23.13,4025
28,8809,Ashton EATON,21 JAN 1988,USA,1,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.73,45,64.83,4:29.80,22.83,4080
29,8807,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),01 JUN 2003,7.86,43.42,69.22,4:28.63,23.42,4077
30,8804,Damian WARNER,04 NOV 1989,CAN,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.77,45.82,63.09,4:27.73,23.38,4032
31,8800,Roman ŠEBRLE,26 NOV 1974,CZE,1,Götzis (AUT),02 JUN 2002,7.79,48.02,68.97,4:38.16,22.73,4116
31,8800,Roman ŠEBRLE,26 NOV 1974,CZE,1,"Olympiastadion, München (GER)",08 AUG 2002,7.92,46.88,68.51,4:42.94,22.78,4051
33,8797,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,7.93,48.24,58.62,4:38.65,23.27,3926
